Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
1990,159,Action,5.6,146,Mukul Anand,Vinod Khanna,Madhuri Dixit,Govinda,5.435978600089166,6.3374999999999995,5.689285714285715,5.909677419354838,4.970833333333333
1990,159,Drama,5.6,146,Mukul Anand,Vinod Khanna,Madhuri Dixit,Govinda,5.985004212299915,6.3374999999999995,5.689285714285715,5.909677419354838,4.970833333333333
1990,159,Romance,5.6,146,Mukul Anand,Vinod Khanna,Madhuri Dixit,Govinda,5.754529717253318,6.3374999999999995,5.689285714285715,5.909677419354838,4.970833333333333
1967,68,Drama,6.3,6,Pinaki Bhushan Mukherji,Anjana Bhowmik,Soumitra Chatterjee,Anil Chatterjee,5.985004212299915,6.166666666666667,6.3,6.4,5.766666666666667
2009,133,Action,6.0,175,Krishna Vamsi,Meka Srikanth,Bhavana,Charmy Kaur,5.435978600089166,6.314285714285715,6.3999999999999995,5.1000000000000005,6.0
2009,133,Crime,6.0,175,Krishna Vamsi,Meka Srikanth,Bhavana,Charmy Kaur,5.726989935956085,6.314285714285715,6.3999999999999995,5.1000000000000005,6.0
2009,133,Drama,6.0,175,Krishna Vamsi,Meka Srikanth,Bhavana,Charmy Kaur,5.985004212299915,6.314285714285715,6.3999999999999995,5.1000000000000005,6.0
1988,74,Action,4.9,27,Naresh Saigal,Krishna A.R.,Salma Agha,Raj Babbar,5.435978600089166,6.2,4.9,5.46,5.625675675675676
2016,106,Animation,7.7,35,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover,5.978571428571429,7.7,6.56923076923077,5.811764705882353,4.9363636363636365
2007,80,Family,8.0,29,Kranti Kanadé,Shriya Sharma,Madan Deodhar,Anuya Bhagwat,6.1843800322061195,6.8,8.0,7.6,8.0
2015,82,Drama,6.3,36,Mahesh Dattani,Mohan Agashe,Seema Bhargava,Achint Kaur,5.985004212299915,6.566666666666666,6.68,7.433333333333334,6.3428571428571425
1959,167,Drama,9.0,22,Ranga B.S.,K.S. Ashwath,M.N. Lakshmi Devi,Vasudeva Girimaji,5.985004212299915,7.5,8.8,9.0,9.0
